Hora Local,Tiempo Relativo (ms),T. Ambiente (C),T. Antena (C)
09:17:34.041,0,19.75,19.75
09:17:34.246,260,19.75,19.75
09:17:34.553,520,19.75,19.75
09:17:34.758,780,19.75,19.75
09:17:35.066,1040,19.75,19.75
09:17:35.270,1300,19.75,19.75
09:17:35.580,1560,19.75,19.75
09:17:35.884,1820,19.75,19.75
09:17:36.089,2080,19.75,19.75
09:17:36.396,2340,19.75,19.75
09:17:36.603,2600,19.75,19.75
09:17:37.113,3120,19.75,19.75
09:17:37.420,3380,19.75,19.75
09:17:37.623,3640,19.75,19.75
09:17:37.933,3900,19.75,19.75
09:17:38.137,4160,19.75,19.75
09:17:38.445,4420,19.75,19.75
09:17:38.649,4680,19.75,19.75
09:17:38.957,4940,19.75,19.75
09:17:39.263,5200,19.75,19.75
09:17:39.469,5460,19.75,19.75
09:17:39.775,5720,19.75,19.75
09:17:39.988,5980,19.75,19.75
09:17:40.288,6240,19.75,19.75
09:17:40.492,6500,19.75,19.75
09:17:40.800,6760,19.75,19.75
09:17:41.004,7020,19.75,19.75
09:17:41.311,7280,19.75,19.75
09:17:41.517,7540,19.75,19.75
09:17:41.824,7800,19.75,19.75
09:17:42.028,8060,19.75,19.75
09:17:42.335,8320,19.75,19.75
09:17:42.643,8580,19.75,19.75
09:17:42.849,8840,19.75,19.75
09:17:43.155,9100,19.75,19.75
09:17:43.462,9360,19.75,19.75
09:17:43.667,9620,19.75,19.75
09:17:43.872,9880,19.75,19.75
09:17:44.180,10140,19.75,19.75
09:17:44.382,10400,19.75,19.75
09:17:44.691,10660,19.75,19.75
09:17:44.897,10920,19.75,19.75
09:17:45.203,11180,19.75,19.75
09:17:45.408,11440,19.75,19.75
09:17:45.715,11700,19.75,19.75
09:17:46.022,11960,19.75,19.75
09:17:46.227,12220,19.75,19.75
09:17:46.534,12480,19.75,19.75
09:17:46.739,12740,19.75,19.75
09:17:47.046,13000,19.75,19.75
09:17:47.251,13260,20.00,19.75
09:17:47.558,13520,20.00,19.75
09:17:47.760,13780,20.00,19.75
09:17:48.070,14040,20.00,19.75
09:17:48.275,14300,20.00,19.75
09:17:48.582,14560,20.00,19.75
09:17:48.787,14820,20.25,19.75
09:17:49.094,15080,20.25,19.75
09:17:49.401,15340,20.25,19.75
09:17:49.606,15600,20.25,19.75
09:17:49.911,15860,20.50,19.75
09:17:50.118,16120,20.50,19.75
09:17:50.425,16380,20.50,19.75
09:17:50.630,16640,20.50,19.75
09:17:50.937,16900,20.50,19.75
09:17:51.142,17160,20.50,19.75
09:17:51.449,17420,20.75,19.75
09:17:51.654,17680,20.75,19.75
09:17:51.961,17940,20.75,19.75
09:17:52.268,18200,20.75,19.75
09:17:52.473,18460,20.75,19.75
